Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status,location,On hand (new),On hand (current),Google Category Confidence,Google Category Needs Review,Google Category Rationale
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",GARNIER THIEBAUT,,Accessoire,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",TRUE,Taille,115x115,Couleur,MULTICOLORE,Matière,Ch. COTON/tr. LIN,47003,,shopify,,deny,manual,86,TRUE,TRUE,3516121500918,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN.jpg,1,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",FALSE,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,kg,,,,,,,,,active,Dropshipping Garnier,17,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",,,,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",,,,,,,,,,,,,,,,,,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN_PH2.jpg,2,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,,,,,,,,,,,,,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",,,,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",,,,,,,,,,,,,,,,,,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN_PH3.jpg,3,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,,,,,,,,,,,,,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",,,,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",,,,,,,,,,,,,,,,,,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN_PH4.jpg,4,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,,,,,,,,,,,,,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",GARNIER THIEBAUT,,Accessoire,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",TRUE,Taille,155x155,Couleur,MULTICOLORE,Matière,Ch. COTON/tr. LIN,47004,,shopify,,deny,manual,125,TRUE,TRUE,3516121500925,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN.jpg,1,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",FALSE,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,kg,,,,,,,,,active,Dropshipping Garnier,17,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",,,,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",,,,,,,,,,,,,,,,,,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN_PH2.jpg,2,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,,,,,,,,,,,,,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",,,,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",,,,,,,,,,,,,,,,,,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN_PH3.jpg,3,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,,,,,,,,,,,,,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",,,,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",,,,,,,,,,,,,,,,,,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN_PH4.jpg,4,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,,,,,,,,,,,,,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",GARNIER THIEBAUT,,Accessoire,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",TRUE,Taille,155x225,Couleur,MULTICOLORE,Matière,Ch. COTON/tr. LIN,47005,,shopify,,deny,manual,179,TRUE,TRUE,3516121500932,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN.jpg,1,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",FALSE,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,kg,,,,,,,,,active,Dropshipping Garnier,5,,0.99,False,Correspondance exacte produit
3516121500918,Nappe Nénuphars Parchemin 115x115 - Coton/Lin - Garnier Thiebaut,"<p>Inspirée d’un jardin d’eau, cette nappe carrée habille la table d’une bordure végétale délicate, aux nuances multicolores sur fond parchemin. Son format 115x115 cm est idéal pour une table de cuisine, un coin repas ou une petite table à dresser avec soin.</p><p>Confectionnée en <strong>métis coton/lin</strong>, elle associe confort d’usage et belle tenue. L’aspect naturellement vivant du tissu apporte un charme authentique et un rendu élégant, sans rigidité.</p><p><strong>Points clés :</strong></p><ul><li><strong>Format</strong> : 115x115 cm, parfait pour tables carrées ou en nappe d’appoint</li><li><strong>Matière</strong> : mélange coton/lin, agréable au toucher et résistant au quotidien</li><li><strong>Finition</strong> : ourlets de 10 mm pour une chute nette et durable</li><li><strong>Style</strong> : motif placé “nénuphars” sur fond parchemin, esprit nature chic</li><li><strong>Entretien</strong> : lavage machine à 40°C, repassage possible mais non indispensable</li></ul><p><strong>Entretien recommandé :</strong> laver séparément à 40°C avant la première utilisation, puis laver en machine à 40°C. Ne pas mettre au sèche-linge. Repasser à fer chaud si souhaité.</p><p>Sélectionnée par La Gustothèque pour la qualité de ses finitions et la justesse de son dessin, elle accompagne aussi bien les repas simples que les tables plus soignées.</p><h3>Le conseil de La Gustothèque</h3><p>Pour mettre en valeur le motif, associez-la à une vaisselle blanche ou grège et à des verres transparents. Un centre de table végétal discret suffit : la nappe fait déjà le décor.</p>",,,,"nappe, linge de table, nappe carrée, 115x115, coton lin, multicolore, motif nénuphars, garnier thiebaut, Lagustothèque",,,,,,,,,,,,,,,,,,https://garnier-thiebaut.adsi.me/media/GTB/IMG/NAPPE_NENUPHARS_PARCHEMIN_PH2.jpg,2,"Nappe carrée Nénuphars Parchemin 115x115 en coton lin, motif végétal multicolore",,Nappe Nénuphars Parchemin 115x115 - coton lin multicolore,"Nappe carrée 115x115 cm au motif nénuphars sur fond parchemin, en métis coton/lin pour une tenue naturelle et un toucher agréable. Ourlets soignés, entretien facile à 40°C. Une pièce choisie par La Gustothèque pour sublimer vos tables du quotidien.",4143,,,,,,,,,,,,,,,,,,,,0.99,False,Correspondance exacte produit
